ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_2AWGTyad6HmB9Ov	Distance Trip 1	3710 (train+plane)	miles	3710	mixed	plane	3710
R_2c0Fve9wiyWAVdi	Distance Trip 1	5230 (flight)	miles	5230	plane	plane	5230
R_2cbjDRtxBWhxlTX	Distance Trip 1	100 (train)	miles	100	train	train	100
R_2Ck2pGz89fm6e4k	Distance Trip 1	1200	kilometers	1200	unknown	unknown	1200
R_2CmoJiXg0YiLYiu	Distance Trip 1	6 km (bus)	kilometers	6	bus	bus	6
R_2cpjmVr7mrYmKbB	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2dhxfNYnGjm1te4	Distance Trip 1	394 (car)	miles	394	car	car	394
R_2DMI1HCkFhFYpa6	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2dtihCManvEfkWk	Distance Trip 1	566	miles	566	unknown	unknown	566
R_2ebsalT2jtY3zPl	Distance Trip 1	200: train	miles	200	train	train	200
R_2EFvh22ku9nUqSD	Distance Trip 1	900 (flight)	miles	900	plane	plane	900
R_2EFvmmRzQMtqzAw	Distance Trip 1	ECEM: 3227 (plane)	kilometers	3227	plane	plane	3227
R_2eVXIUVbGPd2UNx	Distance Trip 1	2500 (air)	miles	2500	plane	plane	2500
R_2f0Y04v53dziwSp	Distance Trip 1	300	kilometers	300	unknown	unknown	300
R_2f88emSFpoMFADE	Distance Trip 1	6332 miles (plane)	miles	6332	plane	plane	6332
R_2fp2DlwmEwrGkDK	Distance Trip 1	800km (train)	kilometers	800	train	train	800
R_2fp8HJsfTSjIXYN	Distance Trip 1	16,006 (plane)	miles	16006	plane	plane	16006
R_2hPtakBjfI2vEJ3	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2OGr85oVeN6hQK7	Distance Trip 1	3000 mi one way (Airplane)	miles	6000	plane	plane	6000
R_2OI4tNfgpjhR10J	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_2P28EQaX4yEbSz9	Distance Trip 1	10000 plane	miles	10000	plane	plane	10000
R_2pKMJlMjzSijgyD	Distance Trip 1	10000	kilometers	10000	unknown	unknown	10000
R_2q2xmNBi1qZnhKi	Distance Trip 1	432	miles	432	unknown	unknown	432
R_2qCS67uqG369lCc	Distance Trip 1	2,000	miles	2000	unknown	unknown	2000
R_2QifX47e3dGXTvi	Distance Trip 1	823	miles	823	unknown	unknown	823
R_2QrKmAv85bXrFj7	Distance Trip 1	400 (train)	kilometers	400	train	train	400
